Titel,Autor,Beschreibung,Typ,Kategorie,Verlag,Veröffentlichungsdatum,ISBN,Sprache,Seitenanzahl,Dateigröße (MB),Dateiname,Hochgeladen von,Upload-Datum
Die Tote am Watt,Gisa_Pauly,"Ein furchtbarer Mord auf der Ferieninsel Sylt! Eine vermogende Witwe wird erdrosselt aufgefunden. Eigentlich musste der Tater per DNA-Analyse schnell zu uberfuhren sein, weshalb Hauptkommissar Erik Wolf auf eine rasche Losung hofft. Mamma Carlotta jedoch, seine italienische Schwiegermutter, die derzeit zu Besuch ist, halt wenig von solchen modernen Ermittlungsmethoden. Viel lieber verlasst sie sich auf ihre weibliche Intuition. Mit italienischem Charme und zum Schreck der Beamten mischt sie sich in die Ermittlungen ein. Dabei bringt sie sich selbst in Lebensgefahr … Atmospharisch, spannend und humorvoll erzahlt Gisa Pauly von Mamma Carlottas erstem Fall, bei dem das italienische Temperament mit dem norddeutschen mehr als einmal zusammenprallt.",Buch,Romane,,,,,,1.02,_OceanofPDF.com_Die_Tote_am_Watt_German_Edition_-_Gisa_Pauly.pdf,admin,23.8.2025
Vegan!,Walter,"Bis vor kurzem konnten interessierte Leser den Eindruck gewinnen, es fände sich nicht allzu viel „schöngeistige“ Literatur zum Thema Veganismus. Jedenfalls im deutschsprachigen Raum. Zwar gibt es jede Menge vegane (und vegetarische) Kochbücher, ebenfalls auch Sachbücher zu Tierrechten und zu einer tierleidfreien Lebensweise. Aber belletristische vegane Literatur? Erzählungen, Romane, Kurzgeschichten, sonstige Prosa, Gedichte? Oder Songtexte? Zum Glück wurden einige Kinderbücher veröffentlicht, um auch die jüngere Generation mit der Liebe zu Tieren, auch zu den sog. Nutztieren, und einer entsprechenden Lebensweise vertraut zu machen.",Buch,Sachbücher,,,,,,10.08,ebook vegan-3.pdf,Holgi,23.8.2025
